,file name,total rows,tail values,number nan cols,drop bebaiosi RAE
0,1220s.xlsx,184,"** Αυτοπαραγωγός , Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί",0,NOT EXIST
1,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΙΑΝΟΥΑΡΙΟΣ-2023.xlsx,206,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,16359,NOT EXIST
2,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΙΟΥΛΙΟΣ-2023.xlsx,203,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,16359,NOT EXIST
3,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΙΟΥΝΙΟΣ-2023.xlsx,203,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,16359,NOT EXIST
4,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΜΑΙΟΣ-2023.xlsx,205,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,16359,NOT EXIST
5,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΜΑΡΤΙΟΣ-2023.xlsx,205,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,16359,NOT EXIST
6,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΜΑΡΤΙΟΣ-2024.xlsx,198, ,0,NOT EXIST
7,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΝΟΕΜΒΡΙΟΣ-2023.xlsx,201, ,0,NOT EXIST
8,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΟΚΤΩΒΡΙΟΣ-2023.xlsx,206,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,0,NOT EXIST
9,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΣΕΠΤΕΜΒΡΙΟΣ-2023.xlsx,206,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,0,NOT EXIST
10,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΦΕΒΡΟΥΑΡΙΟΣ-2023.xlsx,205,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,16359,NOT EXIST
11,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΦΕΒΡΟΥΑΡΙΟΣ-2024.xlsx,200, ,0,NOT EXIST
12,Ν.4685-ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΑΥΓΟΥΣΤΟΣ-2021.xlsx,182,"** Αυτοπαραγωγός , Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί",0,NOT EXIST
13,Ν.4685-ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΔΕΚΕΜΒΡΙΟΣ-2022.xlsx,198,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,0,NOT EXIST
14,Ν.4685-ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΜΑΡΤΙΟΣ-2021.xlsx,183,"** Αυτοπαραγωγός , Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί",0,NOT EXIST
15,Ν.4685-ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΜΑΪΟΣ-2021.xlsx,182,"** Αυτοπαραγωγός , Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί",0,NOT EXIST
16,Ν.4685-ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΟΚΤΩΒΡΙΟΣ-2021.xlsx,193,"** Αυτοπαραγωγός , Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί",0,NOT EXIST
17,Ν.4685-ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΣΕΠΤΕΜΒΡΙΟΣ-2022.xlsx,198,Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί,0,NOT EXIST
18,Ν.4685_3.xlsx,201,"** Αυτοπαραγωγός , Δεν συμπεριλαμβάνονται υβριδικοί σταθμοί",0,NOT EXIST
19,Vevaioseis-APE.xlsx,2839,** Αυτοπαραγωγός,0,Total:2839 Nan:2145
20,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-OKTΩΒΡΙΟΣ-2023.xlsx,5469, ,16364,NOT EXIST
21,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΙΑΝΟΥΑΡΙΟΣ-2023.xlsx,5231, ,16364,NOT EXIST
22,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΙΟΥΛΙΟΣ-2023.xlsx,5403, ,16364,NOT EXIST
23,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΙΟΥΝΙΟΣ-2023.xlsx,5390, ,16364,NOT EXIST
24,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΜΑIOΣ-2023.xlsx,5336, ,16364,NOT EXIST
25,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΜΑΡΤΙΟΣ-2023.xlsx,5316, ,16364,NOT EXIST
26,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΜΑΡΤΙΟΣ-2024.xlsx,5211, ,16364,NOT EXIST
27,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΝΟΕΜΒΡΙΟΣ-2023.xlsx,5410, ,16364,NOT EXIST
28,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΣΕΠΤΕΜΒΡΙΟΣ-2023-1.xlsx,5395, ,16364,NOT EXIST
29,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΦΕΒΡΟΥΑΡΙΟΣ-2023.xlsx,5250, ,16365,NOT EXIST
30,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΦΕΒΡΟΥΑΡΙΟΣ-2024.xlsx,5333, ,16364,NOT EXIST
31,Ν.4685-ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΡΓΑ-ΑΠΕ-ΑΥΓΟΥΣΤΟΣ-2021.xlsx,4839, ,2,Total:4839 Nan:2100
