,file name,file_columns
0,1220s.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
1,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΙΑΝΟΥΑΡΙΟΣ-2023.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
2,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΙΟΥΛΙΟΣ-2023.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
3,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΙΟΥΝΙΟΣ-2023.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
4,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΜΑΙΟΣ-2023.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
5,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΜΑΡΤΙΟΣ-2023.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
6,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΜΑΡΤΙΟΣ-2024.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
7,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΝΟΕΜΒΡΙΟΣ-2023.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
8,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΟΚΤΩΒΡΙΟΣ-2023.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
9,ΜΗΤΡΩΟ-ΑΔΕΙΩΝ-ΕΙΔΙΚΑ-ΕΡΓΑ-ΑΠΕ-ΣΕΠΤΕΜΒΡΙΟΣ-2023.xlsx,"ΑΡ. ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ ΡΑΕ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ ,ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ"
